"","ADM","CD40LG","GDF15","PGF","SELE","EGF","SRC","IL1RN","IL6","CSTB","KLK6","LGALS3","F2R","KLK11","TEK","F3","TNFRSF1A","PDGFB","IL27","OLR1","TNFRSF10B","IL6R","TNFRSF1B","MMP3","HSPB1","PRL","MPO","GH1","RETN","FAS","PAPPA","PTX3","REN","CHI3L1","IL1RL1","HAVCR1","XPNPEP2","SELPLG","MB","THBD","IL16","PLAUR","CTSD","AGER","MMP7","CXCL16","DKK1","SIRT2","GAL","AGRP","PLAT","HBEGF","ESM1","VEGFD","MMP12","SPON1","CTSL","FABP4","NPPB","LEP","MUC16","IKBKG","FST","PECAM1","NT-pro-BNP","RNASE3","CXCL8","VEGFA","BDNF","CCL7","GDNF","CDCP1","CD244","IL7","TNFRSF11B","TGFB1","PLAU","IL17C","CCL2","IL17A","CXCL11","AXIN1","TNFSF10","CXCL9","CST5","OSM","CXCL1","CCL4","CD6","KITLG","IL18","SLAMF1","TGFA","CCL13","CCL11","TNFSF14","FGF23","IL10RA","FGF5","MMP1","LIFR","FGF21","CCL19","IL15RA","IL10RB","IL18R1","CD274","NGF","CXCL5","TNFSF11","HGF","IL12B","MMP10","IL10","CCL23","CD5","CCL3","FLT3LG","CXCL6","CXCL10","EIF4EBP1","CCL28","DNER","S100A12","CD40","FGF19","CCL8","CASP8","CCL25","CX3CL1","TNFRSF9","NTF3","TNFSF12","CCL20","SULT1A1","STAMBP","ADA","LTA","CSF1","RNY4-3p","RNY4-5p","RNY5-5p"
"miR-16-5p",-0.0825454267153863,0,0,0,0,0,0,0,0,-0.0666452397936588,0,0,0,0,-0.0347146230514876,0,-0.101259349303746,0,0,0.026091693746268,-0.0638251978997173,-0.009503613253752,0,-0.0162448415489626,0,0,0,0,0,0,0.0406700619575995,0,0,0,-0.00959666228119449,0,0.015022707182916,-0.0407541870346423,0,0,-0.0351713740866098,0,0,-0.000820324344285457,0,0,0.166100621991372,0,0,0,0,0,0,-0.0324810602973185,0,0,0,0,0,-0.0208586833661313,0,0,0,0,0,0,0,-0.0961614723659531,0.123318001267388,-0.0697339530310586,-0.0820292942093189,-0.00331565988105212,0,0.0969449889345144,0,0,-0.0109884509383252,-0.0508382965048891,0,0,0,0,0,0,0,0,0,-0.0422666520007613,0.0624360261124225,0.000800247375708656,0,-0.0829473395087839,-0.0351850161293607,0.0901347782344502,0,0,0.000277860097162269,-0.0458436227324809,-0.0261486977272823,0,-0.0428506858687198,0,0,0,-0.0350516844662481,-0.0895144513848336,-0.0564500007121393,0,0,0,-0.0476223120671396,0,0,0,0,0,0,0,0,-0.0663591858909449,0,0,0.0888305474680572,0,-0.0401086352757882,0,-0.0585843369100731,0,0,-0.0461104905936031,-0.048757947776894,0,0,0,0,0,0,-0.02735345400221,-0.0707424857655244,0,0,0
"miR-19b-3p",-0.038040565758485,0,0,0,0,0.542315800311458,0.401082740247879,0,0,-0.0347152546299281,0,0,0,0,-0.0538682041844171,-0.0909050505570512,-0.106407382144376,0.561262617812735,0,0,-0.0343569580829081,0,-0.096789874004197,0,0,0,0,0,0,-0.0429654701998694,0.00552796767178012,0,0,0,0,-0.0480024710106698,0,0.017823194038687,0,-0.0509133730582626,0,0,0,0,0.000764726322698561,0,0.156528358708384,0,0,0,0,0,0,0,0,0,0,0,0,0.00377434009858309,0,0,0,0,0,0,-0.0295118466943802,0,0,0,-0.0834783761667377,0,0.0129731921082099,0,0,0,-0.0599133859281099,0,0,0,0,0,0,0,0,0,0,0,0,-0.0484630399437166,0,0,-0.0928430779526661,0,0,0,0,0,0.00678812535403067,0,-0.0977531820697303,0,0,0,0,-0.00891828933990567,0,0,0,0,-0.151285569040298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19608867712201,0,0,0,0,0,-0.0785798552571193,0,0,0,0,-0.133879100655077,0,0,0
"miR-20b-5p",-0.0735020204374932,0.35669173022866,0,0,0,0,0,-0.0538870845838196,-0.137236469478001,-0.0618517189269759,0,0,0.0685708951468597,0,-0.0395106059991181,-0.0975398941703823,0,0.550107424624105,0,0.0177558862610857,-0.0857651841259201,-0.0233044639755364,-0.115167639641505,-0.0487753524214936,0,0,0,0,0,-0.0368728876825182,-0.0119321504255041,0.0124826049807114,0,-0.106603785159678,0,0,0,0.0526534667210192,0,-0.0606240640939059,0,-0.0804542267113042,0,0,0,0,0,0,0,0,-0.0550493176878323,0.00904737468392755,0,0,0,-0.0628958497227298,0,0,0,-0.00326430833273785,0,0,0,0,0,0,-0.0300175055677119,-0.117938003194987,0,0,-0.0712252664450906,-0.0398446643625075,0,0,-0.159200538749017,0,0,0,0,0,0,0,-0.0823635974108981,-0.1158232297159,0,0.101250528843521,0,0,0.0122490068552538,-0.0338715103513488,0,0,-0.134282967982653,0,0,0.0523003180825934,0,-0.0765268017205765,0.000250985750836385,0,-0.114986689573857,-0.0434618639367044,0,0,-0.153925273713795,-0.0276589771610823,-0.0960658675406069,0,0.312738086831848,0.0252482400696902,0,0,-0.0805954947465735,9.45573499419483e-05,0,-0.0831585250433119,0,0,0.127452682072108,0,0,0,-0.0157236085098531,0,0,0,-0.053688888919397,0.161564740568667,0,-0.190167796224662,-0.110427931895169,0,-0.0281760447678542,0,0.188343092196676,0.356690034593306,0,0,-0.188735467903505,0,0,0
"miR-21-5p",0,0,0,0,0.0792182718852573,0,0,0,0,0.0611258437470399,0,0,0.0798437463535439,0,-0.00593969087661834,-0.0582821227899902,0,0.41766276407206,0,0.0920636642061811,-0.0295773062419092,0.0457710032438873,0,0,0,0,0,0,0,0,0,-0.00716466883649546,0,0,0,0,0,0,0,-0.0598420338061657,0,0,0,0,0.0203410474612429,0,0,0,0,0,0.0428802644530076,0,0.0702696970404161,0,0,-0.0128729337892805,0,0,0.0224250291522739,0,0,0.408200081817895,0,0,0,0,0,0,0,0,-0.0550621663768559,0.130014949611983,0,0,-0.0743221538423523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.109915168845503,0,0,0,0,0,0,0,0,0.0600193167685428,0,-0.042619092397937,0,0,0,0,0,0,0,0.422584965000885,0,-0.0388374171353578,0,0,0.053699338878041,0,0,0,0,0,0.0702078359853222,0,0,0,0,0,0,0,0.281143476886709,0,0,0,0.0760981320303354,0,0.0632094716568261,0,0.39088679409758,0,0,0,0,0,0
"miR-24-3p",-0.097611262179272,0.424844866502569,-0.0789199556487945,-0.113349239319165,0,0,0.515096029214896,0,0,0,0,-0.0366288690725673,0.0855973466152437,0,-0.0318635511457553,0,-0.17727629612006,0.624468443180189,0,0.0182492702153752,-0.0642237925531812,-0.00266028299418859,-0.133752364083486,0,0,-0.0187733732493042,0.0420042606054612,0,0,-0.0377446847320984,0.0195066064143643,0,0,-0.0695790213271371,0.0112939334719902,-0.0307091259478321,0.0571547181446705,0.0394974290766376,-0.12030294588204,-0.0702550743443824,0.0542743719064646,0,0.0457306816531165,0,-0.0597050179787463,-0.0295679566914235,0.141940117292346,0.555081954751167,0,0,-0.00283162354567522,0.0067997403036649,0,0,0,-0.0666188280186162,0,-0.0516250711809742,0,-0.00120067084501952,0.0021910544779262,0.509165604117872,-0.0863034721729477,0.0458400753452274,0,0,0,-0.145338314364182,0.0210247717661995,0,-0.00403563616309966,0,0.00835579049983997,0.18146573133201,0,0,-0.0713007493425013,0,0,-0.0233754936875579,0,0,0,-0.134355187676248,0,0,0,-0.0143737305505523,0,-0.12218803514429,-0.0193788995097533,0,0,0,0,0,-0.103123760472945,0,0.00499775122804825,0,-0.0762167731675037,0,0,-0.0174490078696283,-0.15446337846674,0.00294667997008362,0,0,0.453208027935461,0.0259893672763228,-0.133934558205209,-0.0708074481403118,-0.109403987987801,0,0,0,-0.0707571270419408,-0.072677179386179,0,0,0,0,0,0,0,-0.0904720582341665,0,0.279630454007686,0,-0.119947866827294,0,0,0,0,0.306072012284881,0.418253139749113,-0.0179735123122816,0,-0.120951071333182,0,0,0
"miR-26a-5p",-0.153610747800037,0,0,0,0,0,0,0,-0.151912270869499,0,0,-0.0429587852509491,0,0,-0.0332658581426871,0,0,0,0,0,-0.0671299068875012,0,0,0,0,0,0,0,0,-0.0253581078507126,-0.0141552018756309,0.00772274094281436,0,0,0,0,0,0,0,0,0,-0.0786186927870889,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0825501743950447,0,0,0,0,0,0,0,-0.0022197916319897,0,0,0,-0.156265969338194,0.0134570818020385,0,0,0,0,0,0,0.0467001791826266,-0.0586351627624154,0,0,0,0,0,-0.0628483653746862,0,0,-0.0123375524703769,0,0,0.0269243685279688,-0.0504718172604959,0,-0.182522371214534,0,0,0,0,0,0,-0.0406776889304142,0,-0.191417389122826,-0.0181368782275448,0,0,0,-0.0112894319317102,0,0,0.342636961795786,0,-0.184737250869755,0,0,0,0,0,0,0,0,0,0,0,-0.0284109648371706,0,0,0,0,0.140174529330367,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"miR-27b-3p",0,0.195663361261868,0,0,0.0390239440892749,0.150480148178248,0,-0.0247427918571976,0,0,0,-0.0845538522363329,0.0124729390058577,0,0,-0.0684867945094152,0,0,0,0.0384163158060916,0,-0.036752502241069,0,-0.049121881893947,0,0,0,0,0,-0.0262791939564581,0.0187959527386555,0,0,0,0,0,0,0,0,0,0.00962870325500688,0,0,0.0131365082154227,0,-0.0507308699191568,0,0,0,0,0,0.00806235731631814,0,-0.0432264632842197,0,0,0,0,0,-0.0783776994070948,0,0,0,0,0,0,0,0,0.013912962136593,0,-0.0612484596934427,0.0125551344160934,0,0.157727415309556,0,0,0.0196607474531435,0,0,0,0.0757110675176094,0,0.0658068637800691,-0.0388427366713021,0,0,0.131281170764654,0,0,0.0101373195304531,0,-0.0563743500266267,-0.0472073637478087,0,0,0,0,0,-0.046520423734046,0,0.00340450300433662,0,0,0,0,-0.0198875141225099,-0.0326278885080177,0,0.209865216687007,0.0357521720866446,-0.00195141170188085,0.012947578890434,0,0.043823163946989,0,0,0,0,0,0,0,0.037064896279345,0.0626658494029078,0,0,0,0,0.0961362248940343,0,-0.0542064144680395,-0.0357109885825599,0,0,0,0,0.224842627535016,0.0491954116085316,0,-0.00942450171392016,0,0,0
"miR-28-5p",-0.000399994783422816,0.0067616066722247,-0.00312840192903533,0.0220560830094708,-0.0357580922153568,0.0239929946859552,0,-0.0308304859516204,0,0,0.0726209319277861,0,0,0.0497105486054579,0,0,0.09420211765578,0.0876953814072952,0,0,0,0,0,0,0,0,0.0390924116648157,0,0,0.0231435849142079,0.0631270592412034,0,0.00841447627624247,0.0544384148743834,-0.0286863697702098,0,-0.0484546768237876,0,0,0,0.0576921690939766,0.0379194539891028,0,0,0,0,0,0.166720434019222,0,0,0,0.103411006566023,0.0802097647460968,0,0,0,0,0,0,-0.0624712573461075,0.0177979486602214,0,0,0,0,0.0106096428429247,0,0,0.0573809366084759,0,0.0362440399701306,0.102763395964291,0.0659685090336016,0,0,0,0,0,0,0,0,0,0.0695818467232345,0.196366722630473,0,0,0,0,0.0478004062066286,0.0392805687991027,0,0,0,0,0,0.0479821284184024,0.0783598532219914,0,0,0,0.147367275862211,-0.0309918738082524,0.027016121282674,0.0607369828535473,0,0,0.0341063763046591,0,0.110067033016815,0,0.111654914496182,0,0,0,0,0,0.024200456587782,0,0,0,0,0.115687551736777,0.138155984580896,0.0718109038818198,0,0,0,0,0,0,0.101173970103522,0,0.130145278242618,0,0,0.146344037383639,0,0,0.143843169098095,0,0,0
"miR-29a-3p",0,0,0,0,0,0,0.354791921543365,0,0,0,-0.0825674270775039,0,0,0,0,0,-0.101336688417581,0.448641445706389,0,0,-0.0442542680928904,0,0,0,0,0,0,0,0,0.00295298720814102,0,-0.059309914754804,0,0,0.0626995094956818,0.0139394209270818,0,0,0,0,0.053423650512521,0,0,0,0,0,0,0,0,0,0,0.0417664401830406,0,0,0,0,0,0,0,0.0449023937664663,0,0.427117650253614,0,0.063956850994678,0,0,0,-0.103324651332163,0.0300955448788025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0641939136417643,0,0,0,-0.106000207462001,0,-0.0846054632856426,0,0,0,0,0,0,0,0,-0.0330130971321113,0,0,0,-0.10106659315409,0.0520954819360113,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0258259290938182,0.0757996874685563,0,0,0,-0.114395468371194,0,0,0.269425975306871,0,-0.157444432060803,-0.112981329193027,0,0,0,0,0.330855801303952,-0.0365335160508949,0,0,0,0,0
"miR-30b-5p",0,0,0,0,0,0,0,0,0,0,0,0,0.0366900071376191,-0.0531795003221341,0,0,0,0,0,0,-0.0905280575992666,0.0117845340286945,0,0,0,0,0,0,0,-0.0596570236897034,0,0,0,-0.123066809356109,0,-0.0748940232338539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0223748319305063,0,0,-0.131646021856954,0,0,0,0,0,0.0436940220957945,0,-0.048872269108516,0,0,0.140443378287146,0,0,-0.0190983401413407,0,0,-0.0418024397780708,-0.013808660875979,0,0,-0.10693325327716,0,0,0,0,0.0162964883589224,-0.0214035873758464,-0.0627227502625684,-0.130013368781376,0,0,0,0,0,0,-0.0244155198545129,0,-0.170074359409739,-0.0316777160034601,-0.0473733969424173,0,0,0,-0.104053496012796,0,0,0,-0.0962310734937869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0986095501653422,0,0,0,0,0,0,0,0,0,0,0
"miR-92a-3p",-0.0261172055070582,0,0,0,0,0,0,-0.0390051541155362,0,0,0,0,0,0,-0.0638138395792693,-0.0704068037894315,0,0,0,-0.018473890344802,-0.095208711134784,0,-0.073828895581971,0,0,0,0,0,0,-0.082625434657566,0,0,0,0,0.0122219770278414,0,0,0,-0.0759781597013921,0,0.00537521947375719,0,0,-0.0195250992865644,0,-0.0702649780972397,0,0,0,0,0,0,0,0,0,0,0.00738626145759403,0,0,0,0,0.318896999369892,-0.0531212291354072,-0.0219497780895522,0,0,-0.0493146721724436,0,-0.0133515226384781,0,-0.131642283426961,0,0.030748633737252,0.168694496648349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0464647736897811,0,0,0,0,0,0,0,0,-0.027820380513879,0,-0.0631842467605742,0,0,0,0,0,0,0.0221850388566361,0.299449719746255,0,-0.139646055238061,0.0101239348916256,-0.128210425741337,-0.0382837672261886,0,0,0,-0.0721573601099325,0,0,0,-0.0866750600935964,0,0,0,0,0,0,0,0,0,0,-0.0537995557672693,0,0,0.327802159937511,0,0.00585217593043832,-0.0866634772330726,0,0,0
"miR-93-5p",-0.0763511278102594,0,0,0,0.0350708424909431,0,0,-0.0430640458399856,0,0,0,0,0.0709149052710767,0,-0.0539722690875246,-0.0944107807431426,0,0.414216734367771,0,0.0454449671698833,-0.0720847741839832,-0.0146173125841688,-0.0827067720781333,-0.0759668342377688,0,0,0,0,0,-0.053496084821545,0.0147930259642985,0,0,0,0,0,0.0121684099575146,0.0381245993188248,0,-0.0869394067104402,0.0455008222972982,-0.050571026443928,0,0,-0.0591083668406899,0,0.162826962702846,0.393922275745524,0.01317897870401,0,-0.0174067227952068,0.0279149512593229,0,0,0,0,0,0,0,0.0113385908652242,0,0.423612236030899,-0.0797902077982338,0,0,0,-0.0130610909235675,-0.0890167712956468,0.00490554349163319,0,-0.107615480113884,0.0369141474946015,0,0.210091725959473,-0.0528273676739694,0.118889054385563,0,0,0,0,0.0468987448640738,0.40075547087931,0.0310533916674789,-0.0553005228932235,0,0.0813731129375233,0,0,0.0875427450452813,-0.0232213187781678,0,-0.0748445908793745,0,0,0,0.0769832945979598,0,0.00414552089867138,-0.00601227805562171,0,-0.00802254659570291,-0.0101476154064743,0,0,-0.0054390539050885,0,-0.0723947658511875,0,0.422607272732265,0.0519254489345141,0,0,0,0.0742869018188431,0,0.0336155204153494,0,0,0.192440218711862,-0.0327903059522518,0,0,0,0,0,0,0,0.273886678414173,0,-0.0557912929835664,0.00798376546268981,0,0.0627471868234751,0,0,0.427801370587016,0,0.0293066963004858,-0.0252695117146477,0,0,0
"miR-99b-5p",0,0,0,0,0,0.21085406115358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0417675484028575,0,0,0,0,0,0,0.0440488577194523,0,0,0,0,0,0,0,0,0,0,0,-0.00489967996119156,0,0,0,0.00983616768863305,0,0,0,0,0,0,0,0,0,0,0,-0.00746178204848418,0,-0.0559062292567756,0,0.0332766659611141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0160529479288515,0,0,0,0,-0.0709761840024548,0,0,0,0,0,0,0,0,-0.0407136365223658,-0.0726618767379145,0,0,0,0,0,0,0,0,0,0,0,0.0157804932395121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"miR-122-5p",0,-0.0328753499303868,-0.0784615249977006,-0.150012286412052,0,0,-0.0445579774506587,0.112502694087559,0,0,-0.119754937558944,0,-0.124430552257062,0,0,-0.189842054397918,-0.121106528683624,-0.0311199716657492,0,-0.0584208597193756,-0.140702412117834,-0.0438847987568073,-0.16190848476279,0,0,0,0,0,0,0,-0.000829368189080014,0,0,0,-0.00376211309813892,-0.0339019173666718,0.0288169442897838,0,0,0,-0.0978997099308529,0,0,0,-0.0600664839034274,0,0,-0.0551938747774375,0,0,0,0,0,0,0,-0.173612922422633,0,0,0,0.0530821906054936,0,0,0,-0.0522492542353802,0,0,-0.036132690504594,-0.082821313698869,-0.0370684741439367,0,0,-0.00895844172602811,0,0,0,0.00357395596385187,0,0,0.0406651067270508,-0.100369139904024,0,0.0084882644015771,0.0846153700955595,0,0,0,0,0,0.0707383309973135,0,0,0.0291427495226673,0,0,0,0.0459903054031385,0,0.0856753513350993,-0.16690772935355,0,0.00832215658791923,0,0,0,-0.0414357530472361,0,0,0,0,0,0,0.0240797374414336,0,0.0139403215122245,0,0,0,0,0.0620161796259714,0,0,0.0261082824145065,0.0493154443631452,0,0,0,0,0,0,-0.122106515642181,-0.0597987911268768,0.0206835880564694,-0.0685350135287811,0,0,-0.0214662151124241,0,0,-0.0432745965046187,0,0,0
"miR-126-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.079971171542195,0,0,0,0,0,0,0,0,0,0.011106850835274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162808458063605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10784301360343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0365529401166014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"miR-126-5p",0,0.183639791809279,0,0,-0.0168471419334557,0.267592391759455,0,0,-0.031477839156452,0.0026828478942188,0,0,0,-0.100860460678677,-0.0972682295348872,0,0,0,0,0,0,-0.0321995800655367,0,-0.0759791892889943,0,0,0,0,0,-0.1320164679105,-0.0643105844456663,0,0,0,0,-0.0266688928638597,0,0,0,0,0,0,0,0,0,0,0.104961308097912,0,0,0,0,-0.01989240466362,-0.0986702704520713,0,0,0,0,0.00879542368902611,0,0,0.0356220044940707,0,0,0,0,0,0,-0.0823203335314718,-0.0170044281834257,0.0494503909292865,0,-0.0300397626731938,-0.0397451702045585,0.0868772882584457,0,0,0,0,0,-0.103766417794925,0,0.327528071057483,0,-0.0801459303147655,0,0,0,0,0,-0.0946613137263246,0,-0.0324548536396344,-0.113249831490829,0,0,0,0,-0.0405327437573546,-0.0201722632372787,0,-0.14735071666161,0,0,0,0,0.0371246123602678,-0.0603218216287527,0,0,-0.0240586308955902,-0.138751686807688,0,-0.0859255203192545,0,0,0,0.00173047936225971,0,-0.0068961777589859,0,0,-0.0679476338017728,0,0,0,0,-0.0493131277910404,0,0,0,-0.0336464080434129,0,0,0,0,0,0,-0.0786489099412861,-0.148740402527569,0,0,0
"miR-130a-3p",0,0,0,0,0.00212519787390127,0,0,0,0,0,0,0,0,-0.0242757493468556,-0.0642577744602181,-0.0350090732423011,0,0,0,0,-0.0275647675062101,0,-0.116385632102549,0,0,0,0,0,0,0,-0.0178983539748896,0,0,0,0,0,0,0.0206092585681011,0,0,0,0,0,0,0,0,0.111890065764921,0,0,0,-0.0646543802525074,0,0,0,-0.0556254102263814,0,0,0,0,-0.0191641034220927,0,0,0,0.0461933136853672,0,0,0,0,0.0306185736992909,0,0,-0.0844390677082675,0,0,0,0,0,0,0,0,0,0,-0.105792332145019,0,0,0,0,0,0,-0.00469929601935632,0,0,-0.137997194373305,0,0,0,0,0,0.0292553834255751,0.0641016203137678,-0.134282312968947,0,0,-0.0516108317359405,-0.121411950940144,0,-0.0771489427420508,0,0,-0.0301592000102963,-0.15520997155764,0,-0.0983978756172179,0,0,0,0,0,0.0548796025791182,0,0,0,-0.0694324397369413,-0.0652452349390622,0,0,0,0.148347350679932,0,0,0,0,0,0,0,0.315662861481839,0,0,-0.199153335649909,0,0,0
"miR-140-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0210814532631501,0,0,-0.101962651703326,0,0,0.0556456158865402,0,0.0199864866604036,-0.0716662591215053,0,0.271168067335045,0,0,0,0,-0.0564184502129968,0.025589190952837,0,-0.0265139444794794,0,0,0,0,0.116588460894971,0,0,0,0,0.0345999407987032,0.00216445090796775,0,0,0,0.467689733722868,0,0,0,0.0345933771766134,0,0,0,-0.0746659631150189,0,0,0,-0.0163707030797547,0.015863163057382,0.399623943063802,0,0,0,0,0,-0.122189246813642,0.0561162873143428,0,0,-0.0484729926255782,0,0,0,0.0599473623248101,-0.0122565990141699,0,0,0,0.0103546929897944,0.357522092124602,0,-0.0685978301437572,0,0,0,0,0,-0.0659078604736971,0.00604007670428961,0,0,0,0,0.047892305118339,-0.0572800864853743,0,0,0.0803751560468989,-0.104285058536357,0,0,0,0,0,-0.0391595989755607,-0.0176727455245109,0,0,-0.135976113563534,0,0,0.0380078950184912,0,-0.00487870168981101,0,0,0,0,0,0,0,0,0,0,0,0.153982474679936,0,0,-0.0489772332402422,0,0,0,0.151218818335974,0.474636534064348,0,0,-0.104190679656634,0,0,0
